ID,cells,tasmax.11.2010,long,lat
93,193506446,4.850000000000023,-66.28763934384999,46.67069389765
94,104981276,-10.449999999999989,-136.03763906485,63.74569382935
95,168793545,0.35000000000002274,-87.12930592714999,51.43736054525
96,200678072,6.650000000000034,-62.73763935804999,45.287360569849994
97,181449933,0.9500000000000455,-97.22930588675,48.99569388835
98,155489761,-2.349999999999966,-71.99597265434998,54.00402720165
99,124382641,-8.75,-97.99597255034999,60.00402717765
100,124382641,-8.75,-97.99597255034999,60.00402717765
101,200678072,6.650000000000034,-62.73763935804999,45.287360569849994
102,149566224,-2.25,-114.80430581645,55.14569386375
103,104981276,-10.449999999999989,-136.03763906485,63.74569382935
104,124382641,-8.75,-97.99597255034999,60.00402717765
105,148013112,-4.949999999999989,-97.40430588605,55.44569386255
106,124382641,-8.75,-97.99597255034999,60.00402717765
